info	GenerationTime	ExecutionTime	NumVariables	NumClauses	DimensionFormula	NumRoles(Before)	NumRoles(After)	NumZeros(Before)	NumZeros(After)	ResultCompliance
exc_8_w_0.3	0.0162529945374	2.08204102516	686	3388	55771	13	8	65	53	0.916666666667	True
exc_9_w_0.3	0.0183870792389	2.03023600578	686	3388	55785	13	8	65	53	0.870592948718	True
exc_10_w_0.3	0.0171229839325	2.02490496635	686	3388	55771	13	7	65	44	0.7836996337	True
exc_11_w_0.3	0.0187819004059	2.08723306656	686	3388	55784	13	8	65	53	0.916666666667	True
exc_0_w_0.35	0.0164039134979	2.02719593048	686	3388	55771	13	7	65	41	0.842490842491	True
exc_1_w_0.35	0.0315020084381	2.10391688347	686	3388	55771	13	8	65	52	0.916666666667	True
exc_2_w_0.35	0.0182461738586	2.02076506615	686	3388	55771	13	8	65	51	0.86233974359	True
exc_3_w_0.35	0.016175031662	2.09043002129	686	3388	55771	13	7	65	48	0.876373626374	True
exc_4_w_0.35	0.0189800262451	2.02589201927	686	3388	55785	13	8	65	50	0.916666666667	True
exc_5_w_0.35	0.0198278427124	2.03036093712	686	3388	55771	13	7	65	42	0.866117216117	True
exc_6_w_0.35	0.0188248157501	2.08425998688	686	3388	55785	13	8	65	50	0.923076923077	True
exc_7_w_0.35	0.0168719291687	2.02745199203	686	3388	55762	13	7	65	36	0.820787545788	True
exc_8_w_0.35	0.0165510177612	2.09331202507	686	3388	55771	13	8	65	53	0.916666666667	True
exc_9_w_0.35	0.0168790817261	2.01934909821	686	3388	55785	13	8	65	49	0.86233974359	True
exc_10_w_0.35	0.0166709423065	2.02412104607	686	3388	55771	13	7	65	44	0.7836996337	True
exc_11_w_0.35	0.0159931182861	2.08865809441	686	3388	55784	13	8	65	53	0.916666666667	True
exc_0_w_0.4	0.0239670276642	2.03045487404	686	3388	55771	13	7	65	41	0.842490842491	True
exc_1_w_0.4	0.0230209827423	2.0935049057	686	3388	55771	13	8	65	52	0.916666666667	True
exc_2_w_0.4	0.0163609981537	2.02687716484	686	3388	55771	13	8	65	51	0.86233974359	True
exc_3_w_0.4	0.0152940750122	2.02189803123	686	3388	55771	13	7	65	48	0.876373626374	True
exc_4_w_0.4	0.0166888237	2.08550596237	686	3388	55785	13	8	65	50	0.916666666667	True
exc_5_w_0.4	0.0159571170807	2.02664208412	686	3388	55771	13	7	65	42	0.866117216117	True
exc_6_w_0.4	0.0284531116486	2.1009991169	686	3388	55785	13	7	65	40	0.838644688645	True
exc_7_w_0.4	0.0174970626831	2.02410292625	686	3388	55762	13	7	65	36	0.820787545788	True
exc_8_w_0.4	0.0172040462494	2.09050512314	686	3388	55771	13	8	65	53	0.916666666667	True
exc_9_w_0.4	0.0155618190765	2.02636289597	686	3388	55785	13	8	65	49	0.86233974359	True
exc_10_w_0.4	0.0163588523865	2.02027583122	686	3388	55771	13	7	65	44	0.7836996337	True
exc_11_w_0.4	0.0196139812469	2.08520483971	686	3388	55784	13	8	65	53	0.916666666667	True
exc_0_w_0.45	0.0263760089874	2.04326796532	686	3388	55771	13	7	65	41	0.842490842491	True
exc_1_w_0.45	0.0159499645233	2.09237980843	686	3388	55771	13	8	65	52	0.916666666667	True
exc_2_w_0.45	0.0157880783081	2.01886200905	686	3388	55771	13	8	65	51	0.86233974359	True
exc_3_w_0.45	0.0161499977112	2.02277994156	686	3388	55771	13	7	65	48	0.876373626374	True
exc_4_w_0.45	0.0152781009674	2.08841919899	686	3388	55785	13	8	65	50	0.916666666667	True
exc_5_w_0.45	0.0168039798737	2.02027010918	686	3388	55771	13	7	65	42	0.866117216117	True
exc_6_w_0.45	0.0167999267578	2.09017205238	686	3388	55785	13	7	65	40	0.838644688645	True
exc_7_w_0.45	0.0182740688324	2.02894306183	686	3388	55762	13	7	65	36	0.820787545788	True
exc_8_w_0.45	0.0171658992767	2.02394795418	686	3388	55771	13	8	65	53	0.916666666667	True
exc_9_w_0.45	0.0177619457245	2.08320999146	686	3388	55785	13	8	65	49	0.86233974359	True
exc_10_w_0.45	0.0227270126343	2.02962994576	686	3388	55771	13	7	65	44	0.7836996337	True
exc_11_w_0.45	0.0178499221802	2.08718681335	686	3388	55784	13	7	65	38	0.769230769231	True
exc_0_w_0.5	0.0162680149078	2.02674412727	686	3388	55784	13	7	65	41	0.847985347985	True
exc_1_w_0.5	0.0172610282898	2.08622908592	686	3388	55784	13	8	65	44	0.743669871795	True
exc_2_w_0.5	0.0162580013275	2.02716898918	686	3388	55784	13	8	65	44	0.916666666667	True
exc_3_w_0.5	0.0244348049164	2.03143382072	686	3388	55784	13	7	65	38	0.747710622711	True
exc_4_w_0.5	0.0160269737244	2.08736610413	686	3388	55798	13	7	65	37	0.854395604396	True
exc_5_w_0.5	0.0172820091248	2.03524804115	686	3388	55784	13	7	65	36	0.820512820513	True
exc_6_w_0.5	0.0169830322266	2.08709692955	686	3388	55798	13	7	65	42	0.821428571429	True
