info	GenerationTime	ExecutionTime	PlanTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_11_beta_0.35	0.169999999925	15621.34	0	13	7	65	34	11	11	26	15	19	0.474683544304	0.897435897436	True
exc_0_beta_0.4	0.10999999987	22164.56	0	13	7	65	32	11	11	26	15	17	0.487341772152	0.838644688645	True
exc_1_beta_0.4	0.129999999888	30827.37	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_2_beta_0.4	0.070000000298	30646.56	0	13	8	65	43	11	11	26	25	18	0.322784810127	0.916666666667	True
exc_3_beta_0.4	0.169999999925	35113.17	0	13	7	65	35	11	11	26	17	18	0.46835443038	0.897435897436	True
exc_4_beta_0.4	0.14000000013	9915.23	0	13	7	65	34	11	11	26	15	19	0.474683544304	0.897435897436	True
exc_5_beta_0.4	0.0400000000373	5621.31	0	13	7	65	34	11	11	26	15	19	0.474683544304	0.897435897436	True
exc_6_beta_0.4	0.059999999823	8474.08	0	13	7	65	34	11	11	26	15	19	0.474683544304	0.897435897436	True
exc_7_beta_0.4	0.0800000000745	10708.68	0	13	7	65	32	11	11	26	15	17	0.487341772152	0.838644688645	True
exc_8_beta_0.4	0.0499999998137	9700.58	0	13	7	65	34	11	11	26	15	19	0.474683544304	0.897435897436	True
exc_9_beta_0.4	0.0800000000745	10308.6	0	13	7	65	34	11	11	26	14	20	0.474683544304	0.867216117216	True
exc_10_beta_0.4	0.0699999998324	11835.38	0	13	7	65	34	11	11	26	16	18	0.474683544304	0.850549450549	True
exc_11_beta_0.4	0.0700000000652	7383.06	0	13	7	65	34	11	11	26	15	19	0.474683544304	0.897435897436	True
exc_0_beta_0.45	0.0700000000652	17765.24	0	null	null	null	null	null	11	null	null	null	null	null	False
exc_1_beta_0.45	0.0600000000559	21028.94	0	null	null	null	null	null	11	null	null	null	null	null	False
exc_2_beta_0.45	0.0799999998417	21332.54	0	null	null	null	null	null	11	null	null	null	null	null	False
exc_3_beta_0.45	0.0699999998324	21188.47	0	null	null	null	null	null	11	null	null	null	null	null	False
exc_4_beta_0.45	0.0800000000745	21225.84	0	null	null	null	null	null	11	null	null	null	null	null	False
exc_5_beta_0.45	0.0600000000559	17370.05	0	null	null	null	null	null	11	null	null	null	null	null	False
exc_6_beta_0.45	0.0400000000373	14118.14	0	null	null	null	null	null	11	null	null	null	null	null	False
exc_7_beta_0.45	0.0300000000279	10837.13	0	null	null	null	null	null	11	null	null	null	null	null	False
exc_8_beta_0.45	0.0200000000186	10845.2	0	null	null	null	null	null	11	null	null	null	null	null	False
exc_9_beta_0.45	0.0400000000373	10839.37	0	null	null	null	null	null	11	null	null	null	null	null	False
exc_10_beta_0.45	0.0400000000373	10841.98	0	null	null	null	null	null	11	null	null	null	null	null	False
exc_11_beta_0.45	0.0400000000373	10858.91	0	null	null	null	null	null	11	null	null	null	null	null	False
exc_0_beta_0.5	0.0300000000279	10852.79	0	null	null	null	null	null	11	null	null	null	null	null	False
exc_1_beta_0.5	0.0400000000373	10839.8	0	null	null	null	null	null	11	null	null	null	null	null	False
exc_2_beta_0.5	0.0299999997951	10840.23	0	null	null	null	null	null	11	null	null	null	null	null	False
exc_3_beta_0.5	0.0399999998044	10839.66	0	null	null	null	null	null	11	null	null	null	null	null	False
