info	GenerationTime	ExecutionTime	NumRoles(Before)	NumRoles(After)	NumAss(Before)	NumAss(After)	numUsers	NumPermessi	numAssUPA	numAssUA	numAssPA	opt	sim	ResultCompliance
exc_path_352_exc_4_timeOut_10_w_0.65	30.7899999991	181.899999999	23	24	514	454	79	231	729	133	321	0.853879982976	0.774453951914	True
exc_path_348_exc_1_timeOut_10_w_0.65	66.1299999999	217.51	50	30	677	491	79	231	726	156	335	0.80258302583	0.614180139181	True
exc_path_347_exc_4_timeOut_10_w_0.65	30.1600000001	181.08	25	23	488	455	79	231	729	128	327	0.860405731309	0.777425759665	True
exc_path_346_exc_4_timeOut_10_w_0.65	28.9000000013	179.870000001	24	25	487	464	79	231	729	129	335	0.845510001419	0.725699060768	True
exc_path_359_exc_5_timeOut_10_w_0.65	27.6500000004	178.31	23	22	480	471	79	231	730	137	334	0.864539007092	0.820891790376	True
exc_path_355_exc_5_timeOut_10_w_0.65	28.8599999994	179.88	24	24	443	551	79	231	730	114	437	0.840141843972	0.798470331947	True
exc_path_354_exc_5_timeOut_10_w_0.65	27.4400000004	178.32	23	22	546	462	79	231	730	128	334	0.865815602837	0.782756035804	True
exc_path_372_exc_0_timeOut_10_w_0.65	82.6200000001	234.630000001	73	53	1848	677	79	231	725	169	508	0.505180979418	0.619938019941	True
exc_path_350_exc_5_timeOut_10_w_0.65	27.5999999996	178.439999999	23	24	469	468	79	231	730	132	336	0.851914893617	0.730412388674	True
exc_path_364_exc_0_timeOut_10_w_0.65	82.7999999989	234.859999999	73	53	1848	677	79	231	725	169	508	0.505180979418	0.619938019941	True
exc_path_360_exc_0_timeOut_10_w_0.65	82.7600000007	234.75	73	53	1848	677	79	231	725	169	508	0.505180979418	0.619938019941	True
exc_path_356_exc_5_timeOut_10_w_0.65	30.1300000008	180.970000001	25	23	470	458	79	231	730	129	329	0.86	0.703553385574	True
exc_path_366_exc_0_timeOut_10_w_0.65	82.9300000006	235.27	73	53	1848	677	79	231	725	169	508	0.505180979418	0.619938019941	True
exc_path_358_exc_3_timeOut_10_w_0.65	31.9399999995	182.829999999	25	24	486	466	79	231	728	125	341	0.852156640182	0.719993019859	True
